epoch,train_loss
1.000000000000000000e+00,7.517261725884897272e-01
2.000000000000000000e+00,1.610227289023222763e+00
3.000000000000000000e+00,7.198058322623923644e-01
4.000000000000000000e+00,1.046782124925542679e+00
5.000000000000000000e+00,7.213056506933989143e-01
6.000000000000000000e+00,8.374428373795969049e-01
7.000000000000000000e+00,6.406195848076431387e-01
8.000000000000000000e+00,7.145435103663692056e-01
9.000000000000000000e+00,6.526452921054981537e-01
1.000000000000000000e+01,6.493399573696984062e-01
1.100000000000000000e+01,6.190733468091046410e-01
1.200000000000000000e+01,6.779242389731936491e-01
1.300000000000000000e+01,6.514994038475884208e-01
1.400000000000000000e+01,6.278893627502299957e-01
1.500000000000000000e+01,5.783730745315551758e-01
1.600000000000000000e+01,6.301927125012433129e-01
1.700000000000000000e+01,5.325927734375000000e-01
1.800000000000000000e+01,5.865136252509223214e-01
1.900000000000000000e+01,4.827526068245923119e-01
2.000000000000000000e+01,4.569484569408275298e-01
2.100000000000000000e+01,5.406347954714739723e-01
2.200000000000000000e+01,5.094155249772248650e-01
2.300000000000000000e+01,4.228716133921234799e-01
2.400000000000000000e+01,4.920482812104401971e-01
2.500000000000000000e+01,4.548948495476334286e-01
2.600000000000000000e+01,3.678479801725458298e-01
2.700000000000000000e+01,3.111317930398164178e-01
2.800000000000000000e+01,3.282690224824128533e-01
2.900000000000000000e+01,3.448917689146818732e-01
3.000000000000000000e+01,3.394382662243313198e-01
3.100000000000000000e+01,3.422467333299142322e-01
3.200000000000000000e+01,2.908092008696662178e-01
3.300000000000000000e+01,3.470029963387383232e-01
3.400000000000000000e+01,2.760834771173971691e-01
3.500000000000000000e+01,3.070458560078232479e-01
3.600000000000000000e+01,3.100145966918380069e-01
3.700000000000000000e+01,3.444436545725221843e-01
3.800000000000000000e+01,2.906641938068248443e-01
3.900000000000000000e+01,2.413258320755428676e-01
4.000000000000000000e+01,1.725048301396546468e-01
4.100000000000000000e+01,2.846134901046752930e-01
4.200000000000000000e+01,3.068836905338145904e-01
4.300000000000000000e+01,3.384030019795453148e-01
4.400000000000000000e+01,2.611313153196264114e-01
4.500000000000000000e+01,3.939057809335214100e-01
4.600000000000000000e+01,3.142914860336868954e-01
4.700000000000000000e+01,2.597371168710567169e-01
4.800000000000000000e+01,2.991423496493586520e-01
4.900000000000000000e+01,2.927313237278549862e-01
5.000000000000000000e+01,2.622896857835628204e-01
5.100000000000000000e+01,2.933894340638761311e-01
5.200000000000000000e+01,3.060519728395674210e-01
5.300000000000000000e+01,1.915929830736584072e-01
5.400000000000000000e+01,3.115546256303787231e-01
5.500000000000000000e+01,3.421980871094597587e-01
5.600000000000000000e+01,2.579849025717488309e-01
5.700000000000000000e+01,3.384195290229938813e-01
5.800000000000000000e+01,3.123376822030102806e-01
5.900000000000000000e+01,2.841159160490389080e-01
6.000000000000000000e+01,3.689830626050631390e-01
6.100000000000000000e+01,3.037091405303389835e-01
6.200000000000000000e+01,2.679127300227129860e-01
6.300000000000000000e+01,2.388193110624949045e-01
6.400000000000000000e+01,2.947924214380758801e-01
6.500000000000000000e+01,2.845802285053111724e-01
6.600000000000000000e+01,3.055939917211179524e-01
6.700000000000000000e+01,2.804249469880704670e-01
6.800000000000000000e+01,3.059774515805421258e-01
6.900000000000000000e+01,4.100957071339642601e-01
7.000000000000000000e+01,3.311006824175516949e-01
7.100000000000000000e+01,3.413857596891897717e-01
7.200000000000000000e+01,3.325493617190254936e-01
7.300000000000000000e+01,3.421392065507394276e-01
7.400000000000000000e+01,2.825015628779375954e-01
7.500000000000000000e+01,3.296222344592765752e-01
7.600000000000000000e+01,3.096135943024246884e-01
7.700000000000000000e+01,2.524144632948769340e-01
7.800000000000000000e+01,3.490722648523472138e-01
7.900000000000000000e+01,2.453650434811910086e-01
8.000000000000000000e+01,2.163404965842211647e-01
8.100000000000000000e+01,2.921819134994789180e-01
8.200000000000000000e+01,2.693013261865686570e-01
8.300000000000000000e+01,2.528381866437417469e-01
8.400000000000000000e+01,2.578149150919031296e-01
8.500000000000000000e+01,3.013787490350228748e-01
8.600000000000000000e+01,2.676665021313561210e-01
8.700000000000000000e+01,2.194604553558208437e-01
8.800000000000000000e+01,2.465675658097973566e-01
8.900000000000000000e+01,3.696146033428333588e-01
9.000000000000000000e+01,2.787078011918950882e-01
9.100000000000000000e+01,2.665719676900792923e-01
9.200000000000000000e+01,3.256939031459666900e-01
9.300000000000000000e+01,2.852238725732874070e-01
9.400000000000000000e+01,3.071952175211023484e-01
9.500000000000000000e+01,2.568013557681330661e-01
9.600000000000000000e+01,2.554885215229458217e-01
9.700000000000000000e+01,2.404122175993742838e-01
9.800000000000000000e+01,2.342249166082452927e-01
9.900000000000000000e+01,2.509078493824711820e-01
1.000000000000000000e+02,2.697087934723607083e-01
